time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-07 00:00:00+00:00,2,2,102,25
2023-02-08 00:00:00+00:00,12,3,50,22
2023-02-09 00:00:00+00:00,1,1,24,13
2023-02-10 00:00:00+00:00,2,2,41,18
2023-02-11 00:00:00+00:00,10,3,84,25
2023-02-12 00:00:00+00:00,1,1,58,19
2023-02-13 00:00:00+00:00,2,2,41,19
2023-02-14 00:00:00+00:00,1,1,49,20
2023-02-15 00:00:00+00:00,3,3,42,14
2023-02-16 00:00:00+00:00,2,2,33,17
2023-02-17 00:00:00+00:00,1,1,38,20
2023-02-18 00:00:00+00:00,2,2,18,15
2023-02-19 00:00:00+00:00,3,3,45,23
2023-02-20 00:00:00+00:00,4,3,35,8
2023-02-21 00:00:00+00:00,4,3,28,12
2023-02-22 00:00:00+00:00,1,1,78,16
2023-02-23 00:00:00+00:00,1,1,23,13
2023-02-24 00:00:00+00:00,3,3,24,12
2023-02-25 00:00:00+00:00,2,2,19,13
2023-02-26 00:00:00+00:00,1,1,34,17
2023-02-27 00:00:00+00:00,2,2,72,25
2023-02-28 00:00:00+00:00,2,2,51,16
2023-03-01 00:00:00+00:00,3,3,27,20
2023-03-02 00:00:00+00:00,6,3,41,16
2023-03-03 00:00:00+00:00,2,2,42,14
2023-03-04 00:00:00+00:00,1,1,64,20
2023-03-05 00:00:00+00:00,3,3,57,25
2023-03-06 00:00:00+00:00,3,3,27,16
2023-03-07 00:00:00+00:00,3,2,49,19
2023-03-08 00:00:00+00:00,1,1,27,16
2023-03-09 00:00:00+00:00,2,2,27,16
2023-03-10 00:00:00+00:00,2,2,50,24
2023-03-11 00:00:00+00:00,1,1,44,18
2023-03-12 00:00:00+00:00,1,1,27,11
2023-03-13 00:00:00+00:00,4,3,26,12
2023-03-14 00:00:00+00:00,1,1,31,19
2023-03-15 00:00:00+00:00,2,2,32,18
2023-03-16 00:00:00+00:00,2,2,78,23
2023-03-17 00:00:00+00:00,2,2,52,17
2023-03-18 00:00:00+00:00,1,1,50,17
2023-03-19 00:00:00+00:00,1,1,78,19
2023-03-20 00:00:00+00:00,1,1,68,30
